DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
Technical,TASK_T0516,Completed,0,0,0,75,86.25,142.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0064,Completed,33,12,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0781,Completed,8.55,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0059,Completed,33,12,30,30,34.5,30,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0550,Completed,0,6.29,9.68,9.68,4.35,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0133,Completed,49.5,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,33,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0265,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,181.5,168,149.25,189,224.25,195,183.75,57.75,55.13,60.38,57.75,55.13,57.75,52.5,31.5,30
Remaining,,,-16.5,-10.5,0.75,-39,-51.75,-45,-33.75,107.25,102.38,112.13,107.25,102.38,107.25,97.5,126,120
Technical,TASK_T0853,Completed,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0729,Completed,14.85,14.17,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,24,34.5,30,30,33,31.5,34.5,33,31.5,33,30,31.5,30
Technical,TASK_T0844,Completed,112.2,110.25,105,105,120.75,105,105,0,0,0,0,0,0,0,0,0
Technical,TASK_T0426,Completed,41.25,39.38,37.5,37.5,43.13,37.5,26.25,0,0,0,0,0,0,0,0,0
Technical,TASK_T0476,Completed,0,0,0,15,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,0,0
Technical,TASK_T0477,Completed,0,0,0,7.5,8.63,7.5,7.5,8.25,7.88,8.63,8.25,7.88,8.25,7.5,0,0
Technical,TASK_T0398,Completed,11.55,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0232,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,78.75,164.25,166.5,172.5,150,105,115.5,110.25,120.75,115.5,110.25,115.5,105,0,0
Remaining,,,0,78.75,-14.25,-16.5,0,0,45,49.5,47.25,51.75,49.5,47.25,49.5,45,157.5,150
Technical,TASK_T0026,Completed,82.5,78.75,75,61.5,51.75,45,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0064,Completed,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0157,Completed,0,0,89.25,105,120.75,105,105,115.5,110.25,120.75,115.5,110.25,115.5,105,0,0
EMP_0163,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,119.85,154.56,147.69,185.28,182.33,70.98,63.48,22.5,38.16,20.59,15,0,0,0,0,0
Remaining,,,45.15,2.94,2.31,-35.28,-9.83,79.02,86.52,142.5,119.34,151.91,150,157.5,165,150,157.5,150
Technical,TASK_T0436,Completed,99,126,120,120,138,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0661,Completed,0,0,0,42.45,22.5,45,45,22.5,2.55,0,0,0,0,0,0,0
Technical,TASK_T0653,Completed,0,7.5,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0644,Completed,15,7.5,7.5,10,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0
Technical,TASK_T0639,Completed,0,7.88,7.5,7.5,8.63,7.5,0,0,30,15,15,0,0,0,0,0
Technical,TASK_T0578,Partial,5.85,5.68,5.57,5.33,5.71,0,0,0,5.61,5.59,0,0,0,0,0,0
Technical,TASK_T0635,Partial,0,0,0,0,0,10.98,10.98,0,0,0,0,0,0,0,0,0
EMP_0489,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0594,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0683,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,140.25,133.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,24.75,23.63,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0747,Completed,140.25,133.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0095,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,148.5,141.75,120,120,17.25,150,150,0,0,0,0,0,0,0,0,0
Remaining,,,16.5,15.75,30,30,155.25,0,0,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0730,Completed,82.5,78.75,75,75,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0516,Completed,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0
Technical,TASK_T0460,Completed,16.5,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0880,Completed,16.5,15.75,15,15,17.25,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0461,Completed,33,31.5,30,30,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0529,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,161.25,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Remaining,,,0,-3.75,0,0,0,0,0,0,0,0,0,0,0,0,157.5,150
Technical,TASK_T0844,Completed,165,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0299,Completed,0,82.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
EMP_0721,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,168.21,126.06,132.77,119.25,112.13,90,90,99,94.5,103.5,99,94.5,99,90,0,0
Remaining,,,-3.21,31.44,17.23,30.75,60.38,60,60,66,63,69,66,63,66,60,157.5,150
Technical,TASK_T0761,Completed,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0528,Completed,11.46,10.94,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0171,Completed,0,13.5,13.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0889,Completed,0,81,90,90,103.5,90,90,99,94.5,103.5,99,94.5,99,90,0,0
Technical,TASK_T0743,Completed,0,4.88,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0857,Completed,16.5,15.75,15,15,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0878,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0518,Completed,0,0,0,3,8.63,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0530,Completed,115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0610,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0681,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,68.1,48.75,51,177.53,186,15.6,15,10,0,0,0,0,0,0,0,0
Remaining,,,96.9,108.75,99,-27.53,-13.5,134.4,135,155,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0229,Completed,0,0,12,16,10,0.6,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0937,Completed,10,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0522,Completed,12,12.6,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0447,Completed,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0880,Completed,16.5,15.75,15,10,10,15,15,10,0,0,0,0,0,0,0,0
Technical,TASK_T0171,Completed,0.6,12.6,12,12,8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0234,Completed,4,0,0,50,60,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0469,Completed,0,0,0,7.13,8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0022,Completed,10,6,0,10,5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0286,Completed,10,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0530,Completed,0,0,0,60,80,0,0,0,0,0,0,0,0,0,0,0
EMP_0102,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,37.5,0,0,0,0,0,0,0,0,0,0
Allocated Hours,,,330,315,150,150,190.94,47.74,0,0,0,0,0,0,0,0,0,0
Remaining,,,-165,-157.5,0,0,-18.44,-10.24,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0694,Completed,165,157.5,150,150,172.5,37.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0428,Completed,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0562,Completed,0,0,0,0,18.44,10.24,0,0,0,0,0,0,0,0,0,0
EMP_0419,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0542,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,16.5,28.35,75,75,103.5,105,126,158.4,160.65,175.95,168.3,160.65,168.3,153,160.65,153
Remaining,,,148.5,129.15,75,75,69,45,24,6.6,-3.15,-3.45,-3.3,-3.15,-3.3,-3,-3.15,-3
Technical,TASK_T0158,Completed,0,28.35,75,75,103.5,105,126,158.4,160.65,175.95,168.3,160.65,168.3,153,160.65,153
Technical,TASK_T0196,Completed,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0528,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,169.5,158.63,150,150,172.5,142.5,142.5,107.25,102.38,112.13,0,0,0,0,0,0
Remaining,,,-4.5,-1.13,0,0,0,7.5,7.5,57.75,55.13,60.37,165,157.5,165,150,157.5,150
Technical,TASK_T0847,Completed,107.25,102.38,97.5,97.5,112.13,97.5,97.5,107.25,102.38,112.13,0,0,0,0,0,0
Technical,TASK_T0509,Completed,49.5,47.25,45,45,51.75,45,45,0,0,0,0,0,0,0,0,0
Technical,TASK_T0415,Completed,12.75,9,7.5,7.5,8.63,0,0,0,0,0,0,0,0,0,0,0
EMP_0648,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,112.5,0,0
Remaining,,,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,157.5,150
Technical,TASK_T0299,Completed,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,112.5,0,0
EMP_0341,,,,,,,,,,,,,,,,,,
Contracted Hours,,,16.5,15.75,15,15,13.5,0,0,0,0,0,0,0,0,0,0,0
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,16.5,15.75,15,15,13.5,0,0,0,0,0,0,0,0,0,0,0
EMP_0727,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,173.37,141.86,150.11,153.71,177.8,154.5,154.5,169.95,159.07,174.23,166.65,159.07,166.65,94.5,99.22,94.5
Remaining,,,-8.37,15.64,-0.11,-3.71,-5.3,-4.5,-4.5,-4.95,-1.57,-1.73,-1.65,-1.57,-1.65,55.5,58.28,55.5
Technical,TASK_T0506,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,3.6,5.17,4.5,4.5,4.95,4.72,5.17,4.95,4.72,4.95,4.5,4.72,4.5
Technical,TASK_T0144,Completed,99,78.75,90,90,103.5,90,90,99,94.5,103.5,99,94.5,99,90,94.5,90
Technical,TASK_T0986,Completed,0.12,0.11,0.11,0.11,0.12,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0532,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0989,Completed,33,31.5,60,60,69,60,60,66,59.85,65.55,62.7,59.85,62.7,0,0,0
EMP_0474,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,18,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,147,132,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0874,Completed,18,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0233,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,67.42,89,105,121.05,146.4,28.82,19.05,0.75,0,0,0,0,0,0,0,0
Remaining,,,97.58,68.5,45,28.95,26.1,121.18,130.95,164.25,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0749,Completed,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0995,Completed,0,0,10,10,15,4.22,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0412,Completed,10,15,15,5,10,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0439,Completed,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0287,Completed,0,5,15,15,17.25,15,15,0.75,0,0,0,0,0,0,0,0
Technical,TASK_T0695,Completed,0,0,0,4.05,10.35,9,4.05,0,0,0,0,0,0,0,0,0
Technical,TASK_T0397,Completed,15,15,10,10,15,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0431,Completed,0,0,10,12,13.8,0.6,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0903,Completed,0,4,10,15,20,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0450,Completed,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0761,Completed,15,20,10,30,15,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0307,Completed,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0403,Completed,7.42,10,10,5,15,0,0,0,0,0,0,0,0,0,0,0
EMP_0197,,,,,,,,,,,,,,,,,,
Contracted Hours,,,82.5,78.75,75,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Allocated Hours,,,82.5,78.75,75,75,86.25,75,75,82.5,78.75,86.25,82.5,0,0,0,0,0
Remaining,,,0,0,0,0,0,0,0,0,0,0,0,78.75,82.5,75,78.75,75
Technical,TASK_T0934,Completed,82.5,78.75,75,75,86.25,75,75,82.5,78.75,86.25,82.5,0,0,0,0,0
EMP_0624,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,8.3,31.54,37.65,43.5,39.23,6.83,0,0,0,0,0,0,0,0,0,0
Remaining,,,156.7,125.96,112.35,106.5,133.28,143.18,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0441,Completed,8.3,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0882,Completed,0,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0231,Completed,0,9.6,24,24,16.8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0691,Completed,0,0,13.65,19.5,22.43,6.83,0,0,0,0,0,0,0,0,0,0
EMP_0394,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,0,0,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0302,Completed,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0177,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,165.11,177.46,204.08,102.46,102.46,112.71,107.59,117.83,112.71,107.59,112.71,102.46,28.84,24.72
Remaining,,,0,0,-15.11,-27.46,-31.58,47.54,47.54,52.29,49.91,54.67,52.29,49.91,52.29,47.54,128.66,125.28
Technical,TASK_T0563,Completed,82.5,78.75,75,75,86.25,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0144,Completed,82.5,78.75,75,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,0,0
Technical,TASK_T0562,Completed,0,0,15.11,27.46,31.58,27.46,27.46,30.21,28.84,31.58,30.21,28.84,30.21,27.46,28.84,24.72
EMP_0195,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,0,0,0,0,0,0,0,0
Remaining,,,0,0,0,0,0,0,0,0,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0747,Completed,99,94.5,30,30,34.5,30,30,33,0,0,0,0,0,0,0,0
Technical,TASK_T0993,Completed,66,63,120,120,138,120,120,132,0,0,0,0,0,0,0,0
EMP_0121,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,110.55,105.52,16.5,12.9,5.17,4.5,4.5,0,0,0,0,0,0,0,0,0
Remaining,,,54.45,51.98,133.5,137.1,167.32,145.5,145.5,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0302,Completed,82.5,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0749,Completed,9.9,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0401,Completed,13.2,12.6,12,8.4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0564,Completed,4.95,4.72,4.5,4.5,5.17,4.5,4.5,0,0,0,0,0,0,0,0,0
EMP_0060,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,90.83,47.7,153.87,115.04,48.77,25.34,4.05,0,0,0,0,0,0,0,0,0
Remaining,,,74.17,109.8,-3.87,34.96,123.73,124.66,145.95,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0143,Completed,0,0,0,4.05,10.35,9,4.05,0,0,0,0,0,0,0,0,0
Technical,TASK_T0856,Completed,15,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0309,Completed,11.82,11.28,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0852,Completed,0,0,3.14,8.98,10.33,5.84,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0918,Completed,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0172,Completed,0,10.16,20,12,0.48,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0748,Completed,9.9,0.45,10,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0058,Completed,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0855,Completed,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,,Completed,0,0,15,13.5,15.52,4.72,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0743,Completed,10,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0005,Completed,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0178,Completed,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0177,Completed,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0948,Completed,11.56,11.03,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0053,Completed,0,0,4.73,10.51,12.08,5.78,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0402,Completed,6,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0902,Completed,11.55,5.78,20,14,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0482,Completed,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0667,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,80.86,19.52,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,84.14,137.98,142.5,142.5,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0425,Completed,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0144,Completed,33,15.75,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0760,Completed,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0511,Completed,16.58,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0442,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,21.56,19.77,3.83,3.83,1.01,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,143.44,137.73,146.17,146.17,171.49,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0697,Completed,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0260,Completed,0.97,0.93,0.88,0.88,1.01,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0018,Completed,3.24,3.09,2.94,2.94,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0736,Completed,16.5,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0181,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,56.25,36,164.25,273,126,105,0,0,0,0,0,0,0,0,0,0
Remaining,,,108.75,121.5,-14.25,-123,46.5,45,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0392,Completed,15.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0748,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0391,Completed,5.63,0,9,18,5.25,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0409,Completed,0,28.5,15,15,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0760,Completed,15.75,3.75,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0471,Completed,8.25,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0875,Completed,2.63,0,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0530,Completed,0,0,5.25,105,120.75,105,0,0,0,0,0,0,0,0,0,0
EMP_0242,,,,,,,,,,,,,,,,,,
