DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
Allocated Hours,,,82.35,42.52,19.05,72,87.97,62.25,24,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Remaining,,,82.65,114.97,130.95,78,84.53,87.75,126,140.25,133.88,146.63,140.25,133.88,140.25,127.5,133.88,127.5
Technical,TASK_T0437,Completed,0,0,0,18,25.88,22.5,22.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Technical,TASK_T0506,Completed,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0859,Completed,24.75,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0728,Completed,22.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0507,Completed,0,0,6.75,45,51.75,38.25,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0392,Completed,18.15,17.32,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0520,Completed,1.27,1.57,1.5,1.5,1.73,1.5,1.5,0,0,0,0,0,0,0,0,0
Technical,TASK_T0504,Completed,0,3.38,7.5,7.5,8.63,0,0,0,0,0,0,0,0,0,0,0
EMP_0070,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,255,157.5,120,270,345,300,300,165,157.5,172.5,165,157.5,165,150,157.5,150
Remaining,,,-90,0,30,-120,-172.5,-150,-150,0,0,0,0,0,0,0,0,0
Technical,TASK_T0113,Completed,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,120,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0220,Completed,0,0,120,150,172.5,150,150,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,90,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0093,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,131.04,130.88,124.64,154.64,202.41,176.01,176.01,193.61,184.81,202.41,193.61,172.06,180.25,163.86,172.06,163.86
Remaining,,,33.96,26.63,25.36,-4.64,-29.91,-26.01,-26.01,-28.61,-27.31,-29.91,-28.61,-14.56,-15.25,-13.86,-14.56,-13.86
Technical,TASK_T0437,Completed,0,0,0,30,43.13,37.5,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0776,Completed,123.75,118.13,112.5,112.5,129.38,112.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0927,Completed,7.29,12.75,12.14,12.14,13.96,12.14,12.14,13.36,12.75,13.96,13.36,0,0,0,0,0
Technical,TASK_T0928,Completed,0,0,0,0,15.94,13.86,13.86,15.25,14.56,15.94,15.25,14.56,15.25,13.86,14.56,13.86
EMP_0161,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,157.5,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0963,Completed,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0728,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,60,0,0,0,0,0,0,0,0
Allocated Hours,,,89.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,75.75,157.5,150,150,172.5,150,150,60,0,0,0,0,0,0,0,0
Technical,TASK_T0963,Completed,89.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0498,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,113.45,120.15,142.4,166.92,115.24,130.89,48.05,52.85,50.45,55.25,52.85,0,0,0,0,0
Remaining,,,51.55,37.35,7.6,-16.92,57.26,19.11,101.95,112.15,107.05,117.25,112.15,157.5,165,150,157.5,150
Technical,TASK_T0778,Completed,7.14,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0561,Completed,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0488,Completed,11.41,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0500,Completed,19.96,19.06,51,51,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0487,Completed,0,0,0,26.98,31.02,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0497,Completed,16.25,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0236,Completed,16.5,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0492,Completed,0,8.55,9.5,9.5,10.93,9.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0311,Completed,0,24.79,23.61,23.61,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0494,Completed,0,5.7,6.34,6.34,7.29,6.34,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0486,Completed,0,0,19.5,19.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0947,Completed,0,0,30,30,66,67,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0499,Completed,16.5,15.75,0,0,0,48.05,48.05,52.85,50.45,55.25,52.85,0,0,0,0,0
Technical,TASK_T0495,Completed,3.86,3.68,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0429,Completed,10.83,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0643,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,60,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Remaining,,,165,157.5,150,90,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Technical,TASK_T0437,Completed,0,0,0,60,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
EMP_0508,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,95.52,91.17,4.33,4.33,4.98,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,69.48,66.33,145.67,145.67,167.52,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0218,Completed,8.25,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0956,Completed,82.5,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0543,Completed,4.77,4.55,4.33,4.33,4.98,0,0,0,0,0,0,0,0,0,0,0
EMP_0545,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,0,0,67.5,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0963,Completed,165,157.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0708,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,124.8,157.5,150,168,198.38,22.5,22.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Remaining,,,40.2,0,0,-18,-25.88,127.5,127.5,140.25,133.88,146.63,140.25,133.88,140.25,127.5,133.88,127.5
Technical,TASK_T0437,Completed,0,0,0,18,25.88,22.5,22.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Technical,TASK_T0434,Completed,49.9,46.2,31.5,45,45,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0436,Completed,30.8,79.9,87,61.2,83.7,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0435,Completed,44.1,31.4,31.5,43.8,43.8,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,204.3,132.38,135,142.5,163.88,105,105,99,78.75,0,0,0,0,0,70.88,67.5
Remaining,,,-39.3,25.13,15,7.5,8.63,45,45,66,78.75,172.5,165,157.5,165,150,86.63,82.5
Technical,TASK_T0855,Completed,24.75,7.88,15,7.5,8.63,7.5,7.5,8.25,7.88,0,0,0,0,0,0,0
Technical,TASK_T0979,Completed,11.25,7.88,15,7.5,8.63,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.88,67.5
Technical,TASK_T0992,Completed,99,63,60,60,69,75,75,82.5,63,0,0,0,0,0,0,0
Technical,TASK_T0557,Completed,11.55,7.88,7.5,7.5,8.63,7.5,7.5,8.25,7.88,0,0,0,0,0,0,0
Technical,TASK_T0737,Completed,8.25,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0780,Completed,0,0,0,45,51.75,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0508,Completed,49.5,7.88,7.5,15,17.25,15,15,0,0,0,0,0,0,0,0,0
EMP_0300,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,161.55,4.5,4.5,3.15,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,0,-4.05,145.5,145.5,169.35,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0956,Completed,165,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0400,Completed,0,4.05,4.5,4.5,3.15,0,0,0,0,0,0,0,0,0,0,0
EMP_0416,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,135,157.5,142.5,142.5,82.5,112.5,172.5,165,150,157.5,150,157.5,150
Allocated Hours,,,144.12,138.35,154.5,154.5,160.42,102,117,148.5,151.2,165.6,158.4,151.2,158.4,144,151.2,108
Remaining,,,20.88,19.15,-4.5,-19.5,-2.92,40.5,25.5,-66,-38.7,6.9,6.6,-1.2,-0.9,6,6.3,42
Technical,TASK_T0988,Completed,14.85,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0992,Completed,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0990,Completed,20.79,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0696,Completed,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0154,Completed,0,64.8,72,72,82.8,72,117,148.5,151.2,165.6,158.4,151.2,158.4,144,151.2,108
Technical,TASK_T0294,Completed,16.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0880,Completed,24.75,23.63,22.5,30,34.5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0920,Completed,0,0,22.5,15,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0989,Completed,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0152,Completed,0,0,37.5,37.5,43.13,30,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0701,Completed,16.23,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0212,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,214.5,204.75,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Remaining,,,-49.5,-47.25,0,0,0,0,0,0,0,0,0,0,0,0,157.5,150
Technical,TASK_T0690,Completed,49.5,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
EMP_0215,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,154.5,105,207,224.25,180,180,115.5,31.5,34.5,33,31.5,33,30,31.5,30
Remaining,,,0,3,45,-57,-51.75,-30,-30,49.5,126,138,132,126,132,120,126,120
Technical,TASK_T0437,Completed,0,0,0,12,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,15.75,15
Technical,TASK_T0880,Completed,16.5,15.75,15,15,17.25,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0516,Completed,0,0,0,75,86.25,75,75,0,0,0,0,0,0,0,0,0
Technical,TASK_T0736,Completed,33,28.5,15,30,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,15.75,15
Technical,TASK_T0064,Completed,115.5,110.25,75,75,86.25,75,75,82.5,0,0,0,0,0,0,0,0
EMP_0383,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,5.25,15.75,15,99,138,105,105,115.5,110.25,120.75,115.5,110.25,115.5,105,110.25,105
Remaining,,,159.75,141.75,135,51,34.5,45,45,49.5,47.25,51.75,49.5,47.25,49.5,45,47.25,45
Technical,TASK_T0437,Completed,0,0,0,84,120.75,105,105,115.5,110.25,120.75,115.5,110.25,115.5,105,110.25,105
Technical,TASK_T0880,Completed,5.25,15.75,15,15,17.25,0,0,0,0,0,0,0,0,0,0,0
EMP_0563,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0225,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,0,0,0,0,0,0,0
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,0,0,0,0,0,0,0
EMP_0030,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,0,0,67.5,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0963,Completed,165,157.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0191,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,135,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,195.48,159.94,328.88,427.5,405.38,337.5,337.5,371.25,354.38,388.13,371.25,354.38,371.25,324,283.5,270
Remaining,,,-30.48,-24.94,-178.88,-277.5,-232.88,-187.5,-187.5,-206.25,-196.88,-215.63,-206.25,-196.88,-206.25,-174,-126,-120
Technical,TASK_T0121,Completed,178.98,146.44,150,105,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0378,Completed,0,0,120,120,138,120,120,132,126,138,132,126,132,120,126,120
Technical,TASK_T0113,Completed,16.5,13.5,15,15,17.25,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,120,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0373,Completed,0,0,43.88,67.5,77.63,67.5,67.5,74.25,70.88,77.63,74.25,70.88,74.25,54,0,0
EMP_0158,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,135,172.5,150,150,165,157.5,172.5,165,157.5,165,150,78.75,75
Remaining,,,0,0,0,15,0,0,0,0,0,0,0,0,0,0,78.75,75
Technical,TASK_T0437,Completed,0,0,0,60,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Technical,,Completed,24.75,23.63,22.5,30,34.5,30,30,33,31.5,34.5,33,31.5,33,30,0,0
Technical,TASK_T0739,Completed,82.5,78.75,75,15,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,0,0
Technical,TASK_T0840,Completed,57.75,55.13,52.5,30,34.5,30,30,33,31.5,34.5,33,31.5,33,30,0,0
EMP_0509,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Remaining,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5,150
Technical,TASK_T0690,Completed,0,31.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Technical,TASK_T0888,Completed,165,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0016,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,158.25,173.63,165,261.38,289.88,292.5,279.75,43.5,0,0,0,157.5,165,150,157.5,150
Remaining,,,6.75,-16.13,-15,-111.38,-117.38,-142.5,-129.75,121.5,157.5,172.5,165,0,0,0,0,0
Technical,TASK_T0863,Completed,18,16.5,0,37.5,43.13,37.5,37.5,0,0,0,0,0,0,0,0,0
Technical,TASK_T0401,Completed,0,0,0,67.5,77.63,67.5,67.5,27,0,0,0,0,0,0,0,0
Technical,TASK_T0242,Completed,0,0,0,37.5,43.13,37.5,26.25,0,0,0,0,0,0,0,0,0
Technical,TASK_T0523,Completed,24.75,12.38,0,21.38,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0059,Completed,41.25,18.75,0,37.5,43.13,75,75,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,0,82.5,150,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0572,Completed,24.75,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0024,Completed,16.5,15.75,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0724,Completed,0,0,0,0,5.25,7.5,6,0,0,0,0,0,0,0,0,0
Technical,TASK_T0862,Completed,33,16.5,0,30,43.13,37.5,37.5,0,0,0,0,0,0,0,0,0
Technical,TASK_T0397,Partial,0,0,0,0,0,0,0,0,0,0,0,157.5,165,150,157.5,150
Technical,TASK_T0526,Partial,0,0,0,30,34.5,30,30,16.5,0,0,0,0,0,0,0,0
EMP_0444,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,181.5,173.25,183.75,143.1,165.6,234,150,165,157.5,0,0,0,0,0,0,0
Remaining,,,-16.5,-15.75,-33.75,6.9,6.9,-84,0,0,0,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0459,Completed,0,0,0,8.1,10.35,9,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0474,Completed,0,0,41.25,75,86.25,75,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0312,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
