DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
EMP_0156,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0759,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,316.28,262.53,250.03,250.03,196.11,170.53,170.53,176.29,157.5,0,0,0,0,0,0,0
Remaining,,,-151.28,-105.03,-100.03,-100.03,-23.61,-20.53,-20.53,-11.29,0,172.5,165,157.5,165,150,157.5,150
EMP_0416,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,135,157.5,142.5,142.5,82.5,112.5,172.5,165,150,157.5,150,157.5,150
Allocated Hours,,,144.12,138.35,154.5,154.5,160.42,102,117,148.5,151.2,165.6,158.4,151.2,158.4,144,151.2,108
Remaining,,,20.88,19.15,-4.5,-19.5,-2.92,40.5,25.5,-66,-38.7,6.9,6.6,-1.2,-0.9,6,6.3,42
EMP_0159,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,49.5,47.25,43.8,25.5,20.7,3.6,0,0,0,0,0,0,0,0,0,0
Remaining,,,115.5,110.25,106.2,124.5,151.8,146.4,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0246,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0601,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0580,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,19.51,16.97,13.03,13.03,14.98,44.53,44.53,14.33,13.68,8.47,0,0,0,0,0,0
Remaining,,,145.49,140.53,136.97,136.97,157.52,105.47,105.47,150.67,143.82,164.03,165,157.5,165,150,157.5,150
EMP_0215,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,154.5,105,207,224.25,180,180,115.5,31.5,34.5,33,31.5,33,30,31.5,30
Remaining,,,0,3,45,-57,-51.75,-30,-30,49.5,126,138,132,126,132,120,126,120
EMP_0532,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,176.55,168.52,115.5,108,94.88,45,45,49.5,47.25,51.75,49.5,47.25,49.5,30,31.5,30
Remaining,,,-11.55,-11.02,34.5,42,77.63,105,105,115.5,110.25,120.75,115.5,110.25,115.5,120,126,120
EMP_0039,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,115.5,110.25,30,30,34.5,30,0,0,0,0,0,0,0,0,0,0
Remaining,,,49.5,47.25,120,120,138,120,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0530,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,100,125.25,130,126,70,10,0,0,0,0,0,0,0,0,0,0
Remaining,,,65,32.25,20,24,102.5,140,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0223,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,211.2,162.75,132.37,141.68,162.45,113.92,100.28,90.75,78.75,86.25,82.5,78.75,82.5,75,39.38,37.5
Remaining,,,-46.2,-5.25,17.63,8.32,10.05,36.08,49.72,74.25,78.75,86.25,82.5,78.75,82.5,75,118.13,112.5
EMP_0138,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,126.89,230.66,282,274.78,284.72,247.58,174.89,192.38,183.64,201.13,192.38,151.2,158.4,144,151.2,144
Remaining,,,38.11,-73.16,-132,-124.78,-112.22,-97.58,-24.89,-27.38,-26.14,-28.63,-27.38,6.3,6.6,6,6.3,6
EMP_0158,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,135,172.5,150,150,165,157.5,172.5,165,157.5,165,150,78.75,75
Remaining,,,0,0,0,15,0,0,0,0,0,0,0,0,0,0,78.75,75
EMP_0076,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,144,54,51.75,45,59.25,66,63,60,49.5,45.75,16.5,15,15.75,15
Remaining,,,0,0,6,96,120.75,105,90.75,99,94.5,112.5,115.5,111.75,148.5,135,141.75,135
EMP_0123,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,796.96,760.73,724.51,730.17,615.94,259.18,234.32,257.75,246.03,269.47,257.75,246.03,257.75,234.32,246.03,234.32
Remaining,,,-631.96,-603.23,-574.51,-580.17,-443.44,-109.18,-84.32,-92.75,-88.53,-96.97,-92.75,-88.53,-92.75,-84.32,-88.53,-84.32
EMP_0041,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0509,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Remaining,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5,150
EMP_0016,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,158.25,173.63,165,261.38,289.88,292.5,279.75,43.5,0,0,0,157.5,165,150,157.5,150
Remaining,,,6.75,-16.13,-15,-111.38,-117.38,-142.5,-129.75,121.5,157.5,172.5,165,0,0,0,0,0
EMP_0444,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,181.5,173.25,183.75,143.1,165.6,234,150,165,157.5,0,0,0,0,0,0,0
Remaining,,,-16.5,-15.75,-33.75,6.9,6.9,-84,0,0,0,172.5,165,157.5,165,150,157.5,150
EMP_0216,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,105,60,69,60,81,89.1,85.05,93.15,89.1,75.6,79.2,72,75.6,72
Remaining,,,0,0,45,90,103.5,90,69,75.9,72.45,79.35,75.9,81.9,85.8,78,81.9,78
EMP_0362,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,148.5,0,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Remaining,,,16.5,157.5,0,0,0,0,0,0,0,0,0,0,0,0,157.5,150
EMP_0415,,,,,,,,,,,,,,,,,,
Contracted Hours,,,132,126,120,120,138,120,120,132,126,138,132,126,132,120,126,120
Allocated Hours,,,130.5,126,141.75,127.5,146.63,127.5,127.5,140.25,133.88,146.63,140.25,133.88,140.25,127.5,39.38,37.5
Remaining,,,1.5,0,-21.75,-7.5,-8.62,-7.5,-7.5,-8.25,-7.88,-8.62,-8.25,-7.88,-8.25,-7.5,86.63,82.5
