DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
Technical,TASK_T0844,Completed,112.2,110.25,105,105,120.75,105,105,0,0,0,0,0,0,0,0,0
Technical,TASK_T0426,Completed,41.25,39.38,37.5,37.5,43.13,37.5,26.25,0,0,0,0,0,0,0,0,0
Technical,TASK_T0853,Completed,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0476,Completed,0,0,0,15,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,0,0
Technical,TASK_T0437,Completed,0,0,0,24,34.5,30,30,33,31.5,34.5,33,31.5,33,30,31.5,30
Technical,TASK_T0398,Completed,11.55,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0729,Completed,14.85,14.17,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0477,Completed,0,0,0,7.5,8.63,7.5,7.5,8.25,7.88,8.63,8.25,7.88,8.25,7.5,0,0
EMP_0484,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,148.5,141.75,114.88,149.63,155.25,135,135,115.5,110.25,120.75,115.5,110.25,115.5,105,0,0
Remaining,,,16.5,15.75,35.12,0.38,17.25,15,15,49.5,47.25,51.75,49.5,47.25,49.5,45,157.5,150
Technical,TASK_T0844,Completed,123.75,118.13,52.5,30,34.5,30,30,0,0,0,0,0,0,0,0,0
Technical,TASK_T0418,Completed,8.25,7.88,30,30,34.5,30,30,33,31.5,34.5,33,31.5,33,30,0,0
Technical,TASK_T0476,Completed,0,0,9.4,37.5,43.13,37.5,37.5,41.25,39.38,43.13,41.25,39.38,41.25,37.5,0,0
Technical,TASK_T0421,Completed,8.25,7.88,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0420,Completed,8.25,7.88,7.5,7.13,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0477,Completed,0,0,7.97,37.5,43.13,37.5,37.5,41.25,39.38,43.13,41.25,39.38,41.25,37.5,0,0
EMP_0003,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,148.48,142.5,163.88,142.5,142.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,0,0
Remaining,,,0,0,1.52,7.5,8.63,7.5,7.5,140.25,133.88,146.63,140.25,133.88,140.25,127.5,157.5,150
Technical,TASK_T0844,Completed,165,157.5,144,120,138,120,120,0,0,0,0,0,0,0,0,0
Technical,TASK_T0476,Completed,0,0,0,15,17.25,15,15,16.5,15.75,17.25,16.5,15.75,16.5,15,0,0
Technical,TASK_T0477,Completed,0,0,4.48,7.5,8.63,7.5,7.5,8.25,7.88,8.63,8.25,7.88,8.25,7.5,0,0
EMP_0033,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Remaining,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,,Completed,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0602,,,,,,,,,,,,,,,,,,
Contracted Hours,,,0,0,45,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,146.25,172.5,150,150,165,157.5,172.5,165,157.5,165,150,0,0
Remaining,,,0,0,45,3.75,0,0,0,0,0,0,0,0,0,0,157.5,150
Technical,TASK_T0892,Completed,0,0,0,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,0,0
Technical,TASK_T0893,Completed,0,0,0,71.25,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,0,0
EMP_0721,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,168.21,126.06,132.77,119.25,112.13,90,90,99,94.5,103.5,99,94.5,99,90,0,0
Remaining,,,-3.21,31.44,17.23,30.75,60.38,60,60,66,63,69,66,63,66,60,157.5,150
Technical,TASK_T0878,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0171,Completed,0,13.5,13.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0518,Completed,0,0,0,3,8.63,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0530,Completed,115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0528,Completed,11.46,10.94,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0857,Completed,16.5,15.75,15,15,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0743,Completed,0,4.88,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0761,Completed,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0889,Completed,0,81,90,90,103.5,90,90,99,94.5,103.5,99,94.5,99,90,0,0
EMP_0483,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,133.91,155.08,162.7,150.63,187.13,172.5,172.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Remaining,,,31.09,2.42,-12.7,-0.63,-14.63,-22.5,-22.5,140.25,133.88,146.63,140.25,133.88,140.25,127.5,133.88,127.5
Technical,TASK_T0860,Completed,10.16,13.33,12.7,0.63,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0472,Completed,57.75,78.75,75,75,86.25,75,75,0,0,0,0,0,0,0,0,0
Technical,TASK_T0564,Completed,66,63,75,75,86.25,75,75,0,0,0,0,0,0,0,0,0
Technical,TASK_T0743,Partial,0,0,0,0,14.63,22.5,22.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
EMP_0681,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,68.1,48.75,51,177.53,186,15.6,15,10,0,0,0,0,0,0,0,0
Remaining,,,96.9,108.75,99,-27.53,-13.5,134.4,135,155,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0022,Completed,10,6,0,10,5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0286,Completed,10,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0171,Completed,0.6,12.6,12,12,8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0530,Completed,0,0,0,60,80,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0522,Completed,12,12.6,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0234,Completed,4,0,0,50,60,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0447,Completed,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0229,Completed,0,0,12,16,10,0.6,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0937,Completed,10,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0469,Completed,0,0,0,7.13,8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0880,Completed,16.5,15.75,15,10,10,15,15,10,0,0,0,0,0,0,0,0
EMP_0777,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,18.9,27,31.05,9.45,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,131.1,123,141.45,140.55,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,,Completed,0,0,18.9,27,31.05,9.45,0,0,0,0,0,0,0,0,0,0
EMP_0233,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,67.42,89,105,121.05,146.4,28.82,19.05,0.75,0,0,0,0,0,0,0,0
Remaining,,,97.58,68.5,45,28.95,26.1,121.18,130.95,164.25,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0749,Completed,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0412,Completed,10,15,15,5,10,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0431,Completed,0,0,10,12,13.8,0.6,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0761,Completed,15,20,10,30,15,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0397,Completed,15,15,10,10,15,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0695,Completed,0,0,0,4.05,10.35,9,4.05,0,0,0,0,0,0,0,0,0
Technical,TASK_T0439,Completed,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0450,Completed,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0995,Completed,0,0,10,10,15,4.22,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0287,Completed,0,5,15,15,17.25,15,15,0.75,0,0,0,0,0,0,0,0
Technical,TASK_T0403,Completed,7.42,10,10,5,15,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0307,Completed,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0903,Completed,0,4,10,15,20,0,0,0,0,0,0,0,0,0,0,0
EMP_0684,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,170.66,99.14,139.72,159.75,178.25,147,120,132,126,0,0,0,0,0,0,0
Remaining,,,-5.66,58.36,10.28,-9.75,-5.75,3,30,33,31.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0806,Completed,87.35,42.3,48,27.2,36.8,14,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0056,Completed,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0057,Completed,0,0,1.1,9.75,2.4,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0801,Completed,37.01,35.33,50.73,42,46,16,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0883,Completed,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0052,Completed,0,0,7.4,5.8,6.8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0055,Completed,36.3,21.51,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0046,Completed,0,0,0,75,86.25,117,120,132,126,0,0,0,0,0,0,0
EMP_0641,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Allocated Hours,,,129.97,139.2,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,35.03,18.3,75,75,86.25,75,75,82.5,78.75,86.25,82.5,78.75,82.5,75,78.75,75
Technical,TASK_T0394,Completed,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0018,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0427,Completed,16.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0797,Completed,32.63,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0800,Completed,16.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0740,Completed,0,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0919,Completed,6.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0401,Completed,16.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0624,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,8.3,31.54,37.65,43.5,39.23,6.83,0,0,0,0,0,0,0,0,0,0
Remaining,,,156.7,125.96,112.35,106.5,133.28,143.18,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0231,Completed,0,9.6,24,24,16.8,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0691,Completed,0,0,13.65,19.5,22.43,6.83,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0882,Completed,0,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0441,Completed,8.3,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0391,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,248.95,218.87,179.06,225.15,186.48,108.02,35.07,38.58,36.82,40.33,38.58,36.82,38.58,35.07,36.82,35.07
Remaining,,,-83.95,-61.37,-29.06,-75.15,-13.98,41.98,114.93,126.42,120.68,132.17,126.42,120.68,126.42,114.93,120.68,114.93
Technical,TASK_T0499,Completed,0,0,28.06,35.07,40.33,35.07,35.07,38.58,36.82,40.33,38.58,36.82,38.58,35.07,36.82,35.07
Technical,TASK_T0496,Completed,0,0,17.11,17.11,19.68,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0493,Completed,7.09,14.88,14.18,14.18,16.3,14.18,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0489,Completed,9.45,9.02,8.59,25,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0488,Completed,47.85,45.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0490,Completed,14.32,13.67,13.02,37.02,42.58,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0495,Completed,2.1,2,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0500,Completed,38.85,37.09,38,38,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0491,Completed,21.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0292,Completed,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0746,Completed,64.65,61.71,58.78,58.78,67.59,58.78,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0487,Completed,36.49,34.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0356,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,175,182.43,173.75,165.52,172.5,150,150,165,157.5,172.5,0,0,0,0,0,0
Remaining,,,-10,-24.93,-23.75,-15.52,0,0,0,0,0,0,165,157.5,165,150,157.5,150
Technical,TASK_T0038,Completed,0.6,12.6,12,12,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0049,Completed,9.4,12.33,11.75,3.52,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0046,Completed,165,157.5,150,150,172.5,150,150,165,157.5,172.5,0,0,0,0,0,0
EMP_0060,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,90.83,47.7,153.87,115.04,48.77,25.34,4.05,0,0,0,0,0,0,0,0,0
Remaining,,,74.17,109.8,-3.87,34.96,123.73,124.66,145.95,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0005,Completed,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0178,Completed,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0948,Completed,11.56,11.03,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0856,Completed,15,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0855,Completed,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0918,Completed,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0053,Completed,0,0,4.73,10.51,12.08,5.78,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0402,Completed,6,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0
Technical,,Completed,0,0,15,13.5,15.52,4.72,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0309,Completed,11.82,11.28,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0058,Completed,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0177,Completed,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0902,Completed,11.55,5.78,20,14,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0143,Completed,0,0,0,4.05,10.35,9,4.05,0,0,0,0,0,0,0,0,0
Technical,TASK_T0482,Completed,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0852,Completed,0,0,3.14,8.98,10.33,5.84,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0172,Completed,0,10.16,20,12,0.48,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0748,Completed,9.9,0.45,10,4,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0743,Completed,10,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0653,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,113.02,100.86,89.72,126.23,128.08,103.87,77.3,21,0,0,0,0,0,0,0,0
Remaining,,,51.98,56.64,60.28,23.77,44.42,46.13,72.7,144,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0827,Completed,0,0,0,52.5,60.38,52.5,52.5,21,0,0,0,0,0,0,0,0
Technical,TASK_T0062,Completed,19.8,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0059,Completed,16.5,15.75,15,15,17.25,7.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0847,Completed,0,0,15,15,17.25,15,15,0,0,0,0,0,0,0,0,0
Technical,TASK_T0811,Completed,12.6,12.02,11.45,11.45,13.17,11.45,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0472,Completed,8.38,8,7.62,7.62,8.76,7.62,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0453,Completed,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0828,Completed,3.3,17.33,16.51,14.86,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0055,Completed,26.6,15.06,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0170,Completed,10.78,10.29,9.8,9.8,11.27,9.8,9.8,0,0,0,0,0,0,0,0,0
Technical,TASK_T0133,Completed,13.1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0517,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,82.35,42.52,19.05,72,87.97,62.25,24,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Remaining,,,82.65,114.97,130.95,78,84.53,87.75,126,140.25,133.88,146.63,140.25,133.88,140.25,127.5,133.88,127.5
Technical,TASK_T0504,Completed,0,3.38,7.5,7.5,8.63,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0728,Completed,22.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0437,Completed,0,0,0,18,25.88,22.5,22.5,24.75,23.63,25.88,24.75,23.63,24.75,22.5,23.63,22.5
Technical,TASK_T0392,Completed,18.15,17.32,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0859,Completed,24.75,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0520,Completed,1.27,1.57,1.5,1.5,1.73,1.5,1.5,0,0,0,0,0,0,0,0,0
Technical,TASK_T0507,Completed,0,0,6.75,45,51.75,38.25,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0506,Completed,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0051,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,172.5,142.5,142.5,163.87,146.25,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,48.61,38.51,78.92,60.05,40.6,3.72,0,0,0,0,0,0,0,0,0,0
Remaining,,,116.39,133.99,63.58,82.45,123.28,142.53,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0778,Completed,8,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0974,Completed,0,0,19.78,19.78,14.84,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0556,Completed,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0869,Completed,16,16,14.78,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0744,Completed,2.94,12.33,11.75,6.46,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0063,Completed,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0285,Completed,0,0,22.42,22.4,25.76,3.72,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0559,Completed,0,6.62,10.19,10.19,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0245,Completed,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0771,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,135,135,155.25,135,135,148.5,0,0,0,0,0,0,0,0
Remaining,,,0,0,15,15,17.25,15,15,16.5,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0892,Completed,148.5,141.75,135,135,155.25,135,135,148.5,0,0,0,0,0,0,0,0
Technical,TASK_T0889,Completed,16.5,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0069,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,99,133.5,58.5,75,86.25,61.5,45,49.5,47.25,51.75,0,0,0,0,0,0
Remaining,,,66,24,91.5,75,86.25,88.5,105,115.5,110.25,120.75,165,157.5,165,150,157.5,150
Technical,TASK_T0891,Completed,16.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0151,Completed,0,58.5,45,45,51.75,45,45,49.5,47.25,51.75,0,0,0,0,0,0
Technical,TASK_T0901,Completed,16.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0937,Completed,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0053,Completed,0,0,13.5,30,34.5,16.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0899,Partial,33,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP_0093,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,131.04,130.88,124.64,154.64,202.41,176.01,176.01,193.61,184.81,202.41,193.61,172.06,180.25,163.86,172.06,163.86
Remaining,,,33.96,26.63,25.36,-4.64,-29.91,-26.01,-26.01,-28.61,-27.31,-29.91,-28.61,-14.56,-15.25,-13.86,-14.56,-13.86
Technical,TASK_T0437,Completed,0,0,0,30,43.13,37.5,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0776,Completed,123.75,118.13,112.5,112.5,129.38,112.5,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0928,Completed,0,0,0,0,15.94,13.86,13.86,15.25,14.56,15.94,15.25,14.56,15.25,13.86,14.56,13.86
Technical,TASK_T0927,Completed,7.29,12.75,12.14,12.14,13.96,12.14,12.14,13.36,12.75,13.96,13.36,0,0,0,0,0
EMP_0331,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,38.6,64.05,44.66,36.06,12.6,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,126.4,93.45,105.34,113.94,159.9,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Technical,TASK_T0035,Completed,15.01,14.33,13.65,9.6,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0974,Completed,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical,TASK_T0041,Completed,5.86,13.67,13.02,8.46,0,0,0,0,0,0,0,0,0,0,0,0
