Employee,LEVEL-01,LEVEL-02,LEVEL-03
EMP_0047,DEPT_02,Grade_1.4,LVL_01
EMP_0048,DEPT_02,Grade_1.4,LVL_03
EMP_0049,DEPT_02,Grade_1.3,LVL_04
EMP_0050,DEPT_01,Grade_1.3,LVL_01
EMP_0051,DEPT_01,Grade_1.3,LVL_03
EMP_0052,DEPT_01,Grade_1.3,LVL_03
EMP_0053,DEPT_03,Grade_1.3,LVL_03
EMP_0054,DEPT_01,Grade_1.2,LVL_02
EMP_0055,DEPT_02,Grade_1.2,LVL_01
EMP_0056,DEPT_02,Grade_1.2,LVL_03
EMP_0057,DEPT_01,Grade_1.4,LVL_02
EMP_0058,DEPT_03,Grade_1.3,LVL_04
EMP_0059,DEPT_01,Grade_1.2,LVL_04
EMP_0060,DEPT_01,Grade_1.3,LVL_03
EMP_0061,DEPT_02,Grade_1.2,LVL_03
EMP_0062,DEPT_01,Grade_1.4,LVL_03
EMP_0063,DEPT_03,Grade_1.2,LVL_02
EMP_0064,DEPT_01,Grade_1.4,LVL_01
EMP_0065,DEPT_03,Grade_1.4,LVL_01
EMP_0066,DEPT_03,Grade_1.2,LVL_02
EMP_0067,DEPT_02,Grade_1.3,LVL_04
EMP_0068,DEPT_02,Grade_1.3,LVL_01
EMP_0069,DEPT_02,Grade_1.2,LVL_01
EMP_0070,DEPT_03,Grade_1.3,LVL_04
EMP_0071,DEPT_01,Grade_1.4,LVL_01
EMP_0072,DEPT_02,Grade_1.2,LVL_03
EMP_0073,DEPT_02,Grade_1.4,LVL_04
EMP_0074,DEPT_02,Grade_1.3,LVL_02
EMP_0075,DEPT_01,Grade_1.2,LVL_03
EMP_0076,DEPT_01,Grade_1.2,LVL_01
EMP_0077,DEPT_02,Grade_1.3,LVL_03
EMP_0078,DEPT_02,Grade_1.4,LVL_01
EMP_0079,DEPT_02,Grade_1.2,LVL_01
EMP_0080,DEPT_01,Grade_1.2,LVL_03
EMP_0081,DEPT_01,Grade_1.2,LVL_01
EMP_0082,DEPT_01,Grade_1.3,LVL_01
EMP_0083,DEPT_01,Grade_1.2,LVL_01
EMP_0084,DEPT_03,Grade_1.2,LVL_04
EMP_0085,DEPT_03,Grade_1.4,LVL_02
EMP_0086,DEPT_03,Grade_1.4,LVL_01
EMP_0087,DEPT_03,Grade_1.4,LVL_03
EMP_0088,DEPT_02,Grade_1.3,LVL_02
EMP_0089,DEPT_03,Grade_1.4,LVL_02
EMP_0090,DEPT_03,Grade_1.3,LVL_03
EMP_0091,DEPT_02,Grade_1.3,LVL_04
EMP_0092,DEPT_01,Grade_1.3,LVL_03
EMP_0093,DEPT_02,Grade_1.2,LVL_03
EMP_0094,DEPT_02,Grade_1.2,LVL_02
EMP_0095,DEPT_01,Grade_1.4,LVL_02
EMP_0096,DEPT_01,Grade_1.3,LVL_01
EMP_0097,DEPT_02,Grade_1.2,LVL_01
EMP_0098,DEPT_03,Grade_1.3,LVL_03
EMP_0099,DEPT_02,Grade_1.2,LVL_03
EMP_0100,DEPT_01,Grade_1.2,LVL_04
EMP_0101,DEPT_02,Grade_1.4,LVL_03
EMP_0102,DEPT_01,Grade_1.4,LVL_01
EMP_0103,DEPT_02,Grade_1.4,LVL_01
EMP_0104,DEPT_01,Grade_1.2,LVL_03
EMP_0105,DEPT_01,Grade_1.4,LVL_04
EMP_0106,DEPT_01,Grade_1.4,LVL_04
EMP_0107,DEPT_01,Grade_1.2,LVL_04
EMP_0108,DEPT_03,Grade_1.3,LVL_04
EMP_0109,DEPT_03,Grade_1.4,LVL_03
EMP_0110,DEPT_02,Grade_1.3,LVL_02
EMP_0111,DEPT_03,Grade_1.3,LVL_01
EMP_0112,DEPT_03,Grade_1.4,LVL_03
EMP_0113,DEPT_01,Grade_1.3,LVL_01
EMP_0114,DEPT_03,Grade_1.3,LVL_03
EMP_0115,DEPT_01,Grade_1.3,LVL_04
EMP_0116,DEPT_01,Grade_1.4,LVL_03
EMP_0117,DEPT_02,Grade_1.4,LVL_01
EMP_0118,DEPT_02,Grade_1.4,LVL_02
EMP_0119,DEPT_02,Grade_1.4,LVL_03
EMP_0120,DEPT_02,Grade_1.4,LVL_03
EMP_0121,DEPT_01,Grade_1.4,LVL_01
EMP_0122,DEPT_03,Grade_1.4,LVL_03
EMP_0123,DEPT_03,Grade_1.4,LVL_02
EMP_0124,DEPT_02,Grade_1.3,LVL_03
EMP_0125,DEPT_02,Grade_1.2,LVL_04
EMP_0126,DEPT_01,Grade_1.2,LVL_04
EMP_0127,DEPT_02,Grade_1.2,LVL_01
EMP_0128,DEPT_01,Grade_1.3,LVL_01
EMP_0129,DEPT_01,Grade_1.2,LVL_04
EMP_0130,DEPT_02,Grade_1.2,LVL_02
EMP_0131,DEPT_02,Grade_1.4,LVL_04
EMP_0132,DEPT_01,Grade_1.2,LVL_03
EMP_0133,DEPT_03,Grade_1.3,LVL_02
EMP_0134,DEPT_01,Grade_1.2,LVL_01
EMP_0135,DEPT_02,Grade_1.3,LVL_04
EMP_0136,DEPT_03,Grade_1.3,LVL_01
EMP_0137,DEPT_03,Grade_1.2,LVL_04
EMP_0138,DEPT_02,Grade_1.4,LVL_03
EMP_0139,DEPT_02,Grade_1.2,LVL_02
EMP_0140,DEPT_02,Grade_1.2,LVL_01
EMP_0141,DEPT_03,Grade_1.3,LVL_02
EMP_0142,DEPT_03,Grade_1.2,LVL_03
EMP_0143,DEPT_02,Grade_1.2,LVL_01
EMP_0144,DEPT_03,Grade_1.3,LVL_04
EMP_0145,DEPT_02,Grade_1.4,LVL_03
EMP_0146,DEPT_02,Grade_1.4,LVL_02
EMP_0147,DEPT_01,Grade_1.3,LVL_04
EMP_0148,DEPT_02,Grade_1.3,LVL_02
EMP_0149,DEPT_02,Grade_1.2,LVL_04
EMP_0150,DEPT_02,Grade_1.4,LVL_03
EMP_0151,DEPT_03,Grade_1.2,LVL_04
EMP_0152,DEPT_01,Grade_1.3,LVL_02
EMP_0153,DEPT_02,Grade_1.4,LVL_03
EMP_0154,DEPT_01,Grade_1.4,LVL_02
EMP_0155,DEPT_01,Grade_1.3,LVL_01
EMP_0156,DEPT_03,Grade_1.3,LVL_04
EMP_0157,DEPT_01,Grade_1.3,LVL_01
EMP_0158,DEPT_01,Grade_1.2,LVL_01
EMP_0159,DEPT_01,Grade_1.2,LVL_01
EMP_0160,DEPT_01,Grade_1.3,LVL_02
EMP_0161,DEPT_02,Grade_1.3,LVL_01
EMP_0162,DEPT_01,Grade_1.2,LVL_03
EMP_0163,DEPT_02,Grade_1.4,LVL_04
EMP_0164,DEPT_02,Grade_1.4,LVL_03
EMP_0165,DEPT_01,Grade_1.3,LVL_04
EMP_0166,DEPT_03,Grade_1.2,LVL_04
EMP_0167,DEPT_01,Grade_1.2,LVL_02
EMP_0168,DEPT_01,Grade_1.2,LVL_02
EMP_0169,DEPT_02,Grade_1.2,LVL_02
EMP_0170,DEPT_01,Grade_1.3,LVL_02
EMP_0171,DEPT_02,Grade_1.4,LVL_02
EMP_0172,DEPT_01,Grade_1.4,LVL_04
EMP_0173,DEPT_02,Grade_1.2,LVL_03
EMP_0174,DEPT_02,Grade_1.2,LVL_04
EMP_0175,DEPT_01,Grade_1.3,LVL_04
EMP_0176,DEPT_03,Grade_1.4,LVL_04
EMP_0177,DEPT_01,Grade_1.2,LVL_02
EMP_0178,DEPT_01,Grade_1.3,LVL_03
EMP_0179,DEPT_03,Grade_1.2,LVL_03
EMP_0180,DEPT_03,Grade_1.4,LVL_02
EMP_0181,DEPT_02,Grade_1.4,LVL_03
EMP_0182,DEPT_02,Grade_1.4,LVL_02
EMP_0183,DEPT_02,Grade_1.3,LVL_02
EMP_0184,DEPT_03,Grade_1.2,LVL_04
EMP_0185,DEPT_01,Grade_1.4,LVL_03
EMP_0186,DEPT_03,Grade_1.3,LVL_04
EMP_0187,DEPT_01,Grade_1.4,LVL_04
EMP_0188,DEPT_02,Grade_1.3,LVL_04
EMP_0189,DEPT_03,Grade_1.4,LVL_02
EMP_0190,DEPT_01,Grade_1.2,LVL_04
EMP_0191,DEPT_03,Grade_1.3,LVL_01
EMP_0192,DEPT_02,Grade_1.4,LVL_01
EMP_0193,DEPT_03,Grade_1.3,LVL_02
EMP_0194,DEPT_03,Grade_1.3,LVL_01
EMP_0195,DEPT_02,Grade_1.2,LVL_03
EMP_0196,DEPT_01,Grade_1.2,LVL_02
EMP_0197,DEPT_02,Grade_1.2,LVL_04
EMP_0198,DEPT_01,Grade_1.3,LVL_04
EMP_0199,DEPT_03,Grade_1.4,LVL_04
EMP_0200,DEPT_02,Grade_1.4,LVL_03
EMP_0201,DEPT_01,Grade_1.3,LVL_04
EMP_0202,DEPT_02,Grade_1.4,LVL_03
EMP_0203,DEPT_02,Grade_1.2,LVL_01
EMP_0204,DEPT_01,Grade_1.4,LVL_04
EMP_0205,DEPT_01,Grade_1.4,LVL_03
EMP_0206,DEPT_01,Grade_1.3,LVL_03
EMP_0207,DEPT_03,Grade_1.3,LVL_01
EMP_0208,DEPT_01,Grade_1.4,LVL_02
EMP_0209,DEPT_02,Grade_1.2,LVL_02
EMP_0210,DEPT_02,Grade_1.4,LVL_04
EMP_0211,DEPT_03,Grade_1.4,LVL_02
EMP_0212,DEPT_01,Grade_1.3,LVL_03
EMP_0213,DEPT_01,Grade_1.4,LVL_04
EMP_0214,DEPT_02,Grade_1.3,LVL_03
EMP_0215,DEPT_01,Grade_1.3,LVL_02
EMP_0216,DEPT_02,Grade_1.2,LVL_02
EMP_0217,DEPT_02,Grade_1.2,LVL_01
EMP_0218,DEPT_02,Grade_1.4,LVL_01
EMP_0219,DEPT_03,Grade_1.3,LVL_02
EMP_0220,DEPT_01,Grade_1.4,LVL_03
EMP_0221,DEPT_03,Grade_1.4,LVL_04
EMP_0222,DEPT_01,Grade_1.3,LVL_03
EMP_0223,DEPT_03,Grade_1.2,LVL_03
EMP_0224,DEPT_03,Grade_1.2,LVL_01
EMP_0225,DEPT_03,Grade_1.2,LVL_02
EMP_0226,DEPT_01,Grade_1.2,LVL_02
EMP_0227,DEPT_01,Grade_1.3,LVL_04
EMP_0228,DEPT_02,Grade_1.4,LVL_01
EMP_0229,DEPT_02,Grade_1.2,LVL_02
EMP_0230,DEPT_03,Grade_1.2,LVL_02
EMP_0231,DEPT_02,Grade_1.4,LVL_04
EMP_0232,DEPT_02,Grade_1.4,LVL_02
EMP_0233,DEPT_02,Grade_1.4,LVL_02
EMP_0234,DEPT_01,Grade_1.3,LVL_03
EMP_0235,DEPT_02,Grade_1.4,LVL_01
EMP_0236,DEPT_02,Grade_1.3,LVL_04
EMP_0237,DEPT_01,Grade_1.2,LVL_02
EMP_0238,DEPT_03,Grade_1.3,LVL_01
EMP_0239,DEPT_01,Grade_1.2,LVL_03
EMP_0240,DEPT_01,Grade_1.4,LVL_04
EMP_0241,DEPT_01,Grade_1.4,LVL_02
EMP_0242,DEPT_01,Grade_1.2,LVL_03
EMP_0243,DEPT_02,Grade_1.4,LVL_02
EMP_0244,DEPT_01,Grade_1.4,LVL_03
EMP_0245,DEPT_03,Grade_1.3,LVL_04
EMP_0246,DEPT_03,Grade_1.4,LVL_02
EMP_0247,DEPT_03,Grade_1.4,LVL_01
EMP_0248,DEPT_02,Grade_1.4,LVL_02
EMP_0249,DEPT_02,Grade_1.3,LVL_04
EMP_0250,DEPT_01,Grade_1.2,LVL_04
EMP_0251,DEPT_01,Grade_1.4,LVL_03
EMP_0252,DEPT_02,Grade_1.3,LVL_03
EMP_0253,DEPT_01,Grade_1.2,LVL_02
EMP_0254,DEPT_01,Grade_1.4,LVL_01
EMP_0255,DEPT_02,Grade_1.4,LVL_03
EMP_0256,DEPT_03,Grade_1.4,LVL_01
EMP_0257,DEPT_03,Grade_1.4,LVL_04
EMP_0258,DEPT_02,Grade_1.4,LVL_04
EMP_0259,DEPT_03,Grade_1.3,LVL_02
EMP_0260,DEPT_03,Grade_1.4,LVL_04
EMP_0261,DEPT_03,Grade_1.3,LVL_03
EMP_0262,DEPT_02,Grade_1.4,LVL_01
EMP_0263,DEPT_01,Grade_1.3,LVL_01
EMP_0264,DEPT_03,Grade_1.3,LVL_01
EMP_0265,DEPT_02,Grade_1.2,LVL_02
EMP_0266,DEPT_01,Grade_1.4,LVL_01
EMP_0267,DEPT_01,Grade_1.2,LVL_01
EMP_0268,DEPT_03,Grade_1.4,LVL_02
EMP_0269,DEPT_03,Grade_1.3,LVL_04
EMP_0270,DEPT_03,Grade_1.3,LVL_01
EMP_0271,DEPT_02,Grade_1.3,LVL_04
EMP_0272,DEPT_01,Grade_1.4,LVL_04
EMP_0273,DEPT_03,Grade_1.3,LVL_03
EMP_0274,DEPT_03,Grade_1.2,LVL_04
EMP_0275,DEPT_02,Grade_1.4,LVL_01
EMP_0276,DEPT_02,Grade_1.3,LVL_03
EMP_0277,DEPT_01,Grade_1.3,LVL_03
EMP_0278,DEPT_02,Grade_1.2,LVL_03
EMP_0279,DEPT_03,Grade_1.4,LVL_03
EMP_0280,DEPT_01,Grade_1.3,LVL_01
EMP_0281,DEPT_03,Grade_1.2,LVL_04
EMP_0282,DEPT_03,Grade_1.4,LVL_02
EMP_0283,DEPT_01,Grade_1.3,LVL_01
EMP_0284,DEPT_03,Grade_1.4,LVL_02
EMP_0285,DEPT_02,Grade_1.4,LVL_03
EMP_0286,DEPT_03,Grade_1.3,LVL_02
EMP_0287,DEPT_01,Grade_1.2,LVL_02
EMP_0288,DEPT_02,Grade_1.4,LVL_02
EMP_0289,DEPT_01,Grade_1.4,LVL_03
EMP_0290,DEPT_03,Grade_1.2,LVL_01
EMP_0291,DEPT_02,Grade_1.2,LVL_01
EMP_0292,DEPT_02,Grade_1.3,LVL_02
EMP_0293,DEPT_03,Grade_1.4,LVL_02
EMP_0294,DEPT_02,Grade_1.2,LVL_04
EMP_0295,DEPT_03,Grade_1.2,LVL_01
EMP_0296,DEPT_03,Grade_1.3,LVL_01
EMP_0297,DEPT_01,Grade_1.3,LVL_02
EMP_0298,DEPT_03,Grade_1.2,LVL_03
EMP_0299,DEPT_03,Grade_1.3,LVL_02
EMP_0300,DEPT_01,Grade_1.3,LVL_01
EMP_0301,DEPT_03,Grade_1.3,LVL_04
EMP_0302,DEPT_03,Grade_1.2,LVL_04
EMP_0303,DEPT_03,Grade_1.2,LVL_03
EMP_0304,DEPT_03,Grade_1.2,LVL_03
EMP_0305,DEPT_03,Grade_1.4,LVL_03
EMP_0306,DEPT_02,Grade_1.3,LVL_01
EMP_0307,DEPT_03,Grade_1.4,LVL_03
EMP_0308,DEPT_03,Grade_1.4,LVL_01
EMP_0309,DEPT_03,Grade_1.2,LVL_02
EMP_0310,DEPT_03,Grade_1.4,LVL_03
EMP_0311,DEPT_01,Grade_1.2,LVL_01
EMP_0312,DEPT_02,Grade_1.2,LVL_03
EMP_0313,DEPT_02,Grade_1.4,LVL_01
EMP_0314,DEPT_01,Grade_1.3,LVL_03
EMP_0315,DEPT_01,Grade_1.2,LVL_03
EMP_0316,DEPT_03,Grade_1.3,LVL_04
EMP_0317,DEPT_01,Grade_1.4,LVL_03
EMP_0318,DEPT_03,Grade_1.2,LVL_01
EMP_0319,DEPT_03,Grade_1.2,LVL_02
EMP_0320,DEPT_01,Grade_1.2,LVL_02
EMP_0321,DEPT_03,Grade_1.4,LVL_03
EMP_0322,DEPT_02,Grade_1.3,LVL_04
EMP_0323,DEPT_03,Grade_1.2,LVL_04
EMP_0324,DEPT_01,Grade_1.2,LVL_04
EMP_0325,DEPT_02,Grade_1.4,LVL_04
EMP_0326,DEPT_01,Grade_1.2,LVL_01
EMP_0327,DEPT_02,Grade_1.2,LVL_02
EMP_0328,DEPT_01,Grade_1.3,LVL_04
EMP_0329,DEPT_02,Grade_1.3,LVL_02
EMP_0330,DEPT_01,Grade_1.2,LVL_01
EMP_0331,DEPT_02,Grade_1.2,LVL_01
EMP_0332,DEPT_02,Grade_1.2,LVL_04
EMP_0333,DEPT_01,Grade_1.3,LVL_04
EMP_0334,DEPT_03,Grade_1.4,LVL_04
EMP_0335,DEPT_02,Grade_1.3,LVL_04
EMP_0336,DEPT_03,Grade_1.3,LVL_04
EMP_0337,DEPT_03,Grade_1.2,LVL_02
EMP_0338,DEPT_03,Grade_1.2,LVL_01
EMP_0339,DEPT_02,Grade_1.2,LVL_04
EMP_0340,DEPT_02,Grade_1.2,LVL_04
EMP_0341,DEPT_01,Grade_1.3,LVL_01
EMP_0342,DEPT_01,Grade_1.4,LVL_03
EMP_0343,DEPT_02,Grade_1.2,LVL_01
EMP_0344,DEPT_03,Grade_1.2,LVL_01
EMP_0345,DEPT_03,Grade_1.3,LVL_04
EMP_0346,DEPT_02,Grade_1.3,LVL_04
EMP_0347,DEPT_02,Grade_1.3,LVL_03
EMP_0348,DEPT_01,Grade_1.2,LVL_01
EMP_0349,DEPT_03,Grade_1.4,LVL_02
EMP_0350,DEPT_03,Grade_1.2,LVL_03
EMP_0351,DEPT_03,Grade_1.2,LVL_01
EMP_0352,DEPT_02,Grade_1.4,LVL_01
EMP_0353,DEPT_03,Grade_1.3,LVL_02
EMP_0354,DEPT_01,Grade_1.3,LVL_01
EMP_0355,DEPT_03,Grade_1.3,LVL_04
EMP_0356,DEPT_01,Grade_1.3,LVL_01
EMP_0357,DEPT_03,Grade_1.2,LVL_04
EMP_0358,DEPT_01,Grade_1.4,LVL_04
EMP_0359,DEPT_02,Grade_1.4,LVL_04
EMP_0360,DEPT_01,Grade_1.3,LVL_01
EMP_0361,DEPT_01,Grade_1.2,LVL_04
EMP_0362,DEPT_02,Grade_1.3,LVL_03
EMP_0363,DEPT_03,Grade_1.4,LVL_03
EMP_0364,DEPT_01,Grade_1.3,LVL_01
EMP_0365,DEPT_01,Grade_1.3,LVL_01
EMP_0366,DEPT_02,Grade_1.2,LVL_02
EMP_0367,DEPT_01,Grade_1.2,LVL_04
EMP_0368,DEPT_03,Grade_1.4,LVL_03
EMP_0369,DEPT_02,Grade_1.4,LVL_01
EMP_0370,DEPT_03,Grade_1.4,LVL_04
EMP_0371,DEPT_01,Grade_1.3,LVL_02
EMP_0372,DEPT_01,Grade_1.4,LVL_02
EMP_0373,DEPT_01,Grade_1.4,LVL_01
EMP_0374,DEPT_02,Grade_1.3,LVL_04
EMP_0375,DEPT_03,Grade_1.4,LVL_01
EMP_0376,DEPT_01,Grade_1.4,LVL_03
EMP_0377,DEPT_03,Grade_1.2,LVL_03
EMP_0378,DEPT_01,Grade_1.4,LVL_04
EMP_0379,DEPT_01,Grade_1.2,LVL_02
EMP_0380,DEPT_03,Grade_1.2,LVL_04
EMP_0381,DEPT_02,Grade_1.2,LVL_03
EMP_0382,DEPT_01,Grade_1.3,LVL_01
EMP_0383,DEPT_03,Grade_1.2,LVL_04
EMP_0384,DEPT_03,Grade_1.2,LVL_02
EMP_0385,DEPT_01,Grade_1.2,LVL_03
EMP_0386,DEPT_03,Grade_1.2,LVL_02
EMP_0387,DEPT_03,Grade_1.2,LVL_04
EMP_0388,DEPT_01,Grade_1.2,LVL_03
EMP_0389,DEPT_02,Grade_1.3,LVL_02
EMP_0390,DEPT_02,Grade_1.2,LVL_01
EMP_0391,DEPT_02,Grade_1.4,LVL_03
EMP_0392,DEPT_03,Grade_1.3,LVL_04
EMP_0393,DEPT_03,Grade_1.2,LVL_04
EMP_0394,DEPT_01,Grade_1.4,LVL_01
EMP_0395,DEPT_03,Grade_1.3,LVL_02
EMP_0396,DEPT_01,Grade_1.3,LVL_02
EMP_0397,DEPT_02,Grade_1.3,LVL_03
EMP_0398,DEPT_03,Grade_1.4,LVL_04
EMP_0399,DEPT_01,Grade_1.2,LVL_01
EMP_0400,DEPT_01,Grade_1.3,LVL_04
EMP_0401,DEPT_01,Grade_1.4,LVL_01
EMP_0402,DEPT_03,Grade_1.2,LVL_03
EMP_0403,DEPT_03,Grade_1.2,LVL_04
EMP_0404,DEPT_02,Grade_1.2,LVL_02
EMP_0405,DEPT_03,Grade_1.2,LVL_04
EMP_0406,DEPT_03,Grade_1.3,LVL_01
EMP_0407,DEPT_03,Grade_1.4,LVL_01
EMP_0408,DEPT_03,Grade_1.2,LVL_01
EMP_0409,DEPT_01,Grade_1.4,LVL_03
EMP_0410,DEPT_02,Grade_1.2,LVL_03
EMP_0411,DEPT_03,Grade_1.4,LVL_01
EMP_0412,DEPT_02,Grade_1.4,LVL_02
EMP_0413,DEPT_01,Grade_1.2,LVL_01
EMP_0414,DEPT_02,Grade_1.4,LVL_01
EMP_0415,DEPT_01,Grade_1.4,LVL_02
EMP_0416,DEPT_01,Grade_1.2,LVL_04
EMP_0417,DEPT_01,Grade_1.3,LVL_01
EMP_0418,DEPT_02,Grade_1.4,LVL_03
EMP_0419,DEPT_02,Grade_1.2,LVL_03
EMP_0420,DEPT_03,Grade_1.3,LVL_01
EMP_0421,DEPT_03,Grade_1.2,LVL_03
EMP_0422,DEPT_02,Grade_1.2,LVL_04
EMP_0423,DEPT_02,Grade_1.3,LVL_04
EMP_0424,DEPT_02,Grade_1.4,LVL_01
EMP_0425,DEPT_03,Grade_1.2,LVL_01
EMP_0426,DEPT_01,Grade_1.4,LVL_02
EMP_0427,DEPT_01,Grade_1.4,LVL_03
EMP_0428,DEPT_03,Grade_1.4,LVL_04
EMP_0429,DEPT_02,Grade_1.4,LVL_04
EMP_0430,DEPT_01,Grade_1.2,LVL_02
EMP_0431,DEPT_02,Grade_1.2,LVL_01
EMP_0432,DEPT_02,Grade_1.3,LVL_04
EMP_0433,DEPT_03,Grade_1.2,LVL_01
EMP_0434,DEPT_01,Grade_1.4,LVL_04
EMP_0435,DEPT_01,Grade_1.2,LVL_01
EMP_0436,DEPT_03,Grade_1.2,LVL_04
EMP_0437,DEPT_01,Grade_1.3,LVL_02
EMP_0438,DEPT_01,Grade_1.2,LVL_04
EMP_0439,DEPT_02,Grade_1.4,LVL_02
EMP_0440,DEPT_03,Grade_1.4,LVL_03
EMP_0441,DEPT_03,Grade_1.2,LVL_01
EMP_0442,DEPT_01,Grade_1.2,LVL_01
EMP_0443,DEPT_03,Grade_1.3,LVL_02
EMP_0444,DEPT_01,Grade_1.3,LVL_04
EMP_0445,DEPT_02,Grade_1.4,LVL_03
EMP_0446,DEPT_01,Grade_1.4,LVL_04
EMP_0447,DEPT_01,Grade_1.4,LVL_02
EMP_0448,DEPT_02,Grade_1.2,LVL_04
EMP_0449,DEPT_03,Grade_1.2,LVL_01
EMP_0450,DEPT_03,Grade_1.3,LVL_04
EMP_0451,DEPT_01,Grade_1.3,LVL_04
EMP_0452,DEPT_03,Grade_1.4,LVL_04
EMP_0453,DEPT_03,Grade_1.2,LVL_04
EMP_0454,DEPT_01,Grade_1.3,LVL_02
EMP_0455,DEPT_01,Grade_1.3,LVL_03
EMP_0456,DEPT_03,Grade_1.3,LVL_04
EMP_0457,DEPT_03,Grade_1.4,LVL_03
EMP_0458,DEPT_01,Grade_1.3,LVL_02
EMP_0459,DEPT_02,Grade_1.4,LVL_03
EMP_0460,DEPT_01,Grade_1.3,LVL_03
EMP_0461,DEPT_01,Grade_1.4,LVL_02
EMP_0462,DEPT_01,Grade_1.3,LVL_03
EMP_0463,DEPT_03,Grade_1.3,LVL_04
EMP_0464,DEPT_02,Grade_1.3,LVL_04
EMP_0465,DEPT_03,Grade_1.3,LVL_04
EMP_0466,DEPT_03,Grade_1.4,LVL_02
EMP_0467,DEPT_01,Grade_1.4,LVL_02
EMP_0468,DEPT_02,Grade_1.3,LVL_01
EMP_0469,DEPT_02,Grade_1.4,LVL_04
EMP_0470,DEPT_01,Grade_1.2,LVL_04
EMP_0471,DEPT_01,Grade_1.2,LVL_01
EMP_0472,DEPT_02,Grade_1.3,LVL_03
EMP_0473,DEPT_03,Grade_1.2,LVL_01
EMP_0474,DEPT_02,Grade_1.3,LVL_03
EMP_0475,DEPT_02,Grade_1.3,LVL_02
EMP_0476,DEPT_01,Grade_1.3,LVL_04
EMP_0477,DEPT_02,Grade_1.3,LVL_04
EMP_0478,DEPT_02,Grade_1.2,LVL_03
EMP_0479,DEPT_02,Grade_1.2,LVL_02
EMP_0480,DEPT_02,Grade_1.2,LVL_02
EMP_0481,DEPT_01,Grade_1.4,LVL_01
EMP_0482,DEPT_02,Grade_1.4,LVL_01
EMP_0483,DEPT_01,Grade_1.2,LVL_03
EMP_0484,DEPT_03,Grade_1.4,LVL_03
EMP_0485,DEPT_02,Grade_1.3,LVL_02
EMP_0486,DEPT_01,Grade_1.2,LVL_02
EMP_0487,DEPT_02,Grade_1.3,LVL_04
EMP_0488,DEPT_02,Grade_1.4,LVL_01
EMP_0489,DEPT_02,Grade_1.4,LVL_01
EMP_0490,DEPT_02,Grade_1.4,LVL_04
EMP_0491,DEPT_03,Grade_1.2,LVL_01
EMP_0492,DEPT_02,Grade_1.3,LVL_01
EMP_0493,DEPT_03,Grade_1.4,LVL_04
EMP_0494,DEPT_03,Grade_1.3,LVL_02
EMP_0495,DEPT_01,Grade_1.2,LVL_01
EMP_0496,DEPT_01,Grade_1.2,LVL_03
EMP_0497,DEPT_03,Grade_1.2,LVL_04
EMP_0498,DEPT_03,Grade_1.3,LVL_02
